2016-02-05~[549, 726]
2016-02-04~[450, 684]
2016-02-03~[712, 1026]
2016-02-02~[642, 1007]
2016-01-31~[198, 365]
2016-01-30~[138, 286]
2016-01-29~[371, 548]
2016-01-28~[264, 414]
2016-01-27~[281, 369]
2016-01-26~[309, 470]
2016-01-25~[278, 405]
2016-01-24~[138, 346]
2016-01-23~[125, 305]
2016-01-22~[295, 509]
2016-01-21~[277, 461]
2016-01-20~[158, 387]
2016-01-19~[137, 262]
2016-01-18~[168, 362]
2016-01-17~[148, 377]
2016-01-16~[97, 245]
2016-01-15~[209, 355]
2016-01-14~[227, 349]
2016-01-13~[165, 304]
2016-01-12~[174, 328]
2016-01-11~[204, 359]
2016-01-10~[138, 248]
2016-01-09~[94, 193]
2016-01-08~[166, 216]
2016-01-07~[233, 338]
2016-01-06~[187, 188]
2016-01-05~[211, 243]
2016-01-04~[132, 180]
2016-01-03~[68, 143]
2016-01-02~[47, 126]
2016-01-01~[49, 221]
2016-06-19~[6354, 9005]
2016-06-20~[12362, 12521]
2016-06-18~[4736, 6398]
2016-06-25~[65819, 42680]
2016-06-24~[299197, 178348]
2016-06-23~[33059, 28576]
2016-06-22~[19230, 20176]
2016-06-21~[15068, 16384]
2016-06-30~[25202, 13211]
2016-06-29~[24922, 15325]
2016-06-28~[40312, 23089]
2016-06-27~[60689, 37002]
2016-06-26~[44132, 24828]
2016-07-05~[12335, 7230]
2016-07-01~[16172, 10008]
2016-07-04~[15785, 9923]
2016-07-03~[8263, 5633]
2016-07-02~[9746, 6865]
2018-01-01~[1937, 697]
2017-12-31~[2278, 745]
2017-12-30~[2221, 836]
2017-12-29~[2314, 827]
2017-12-28~[2409, 717]
2017-12-27~[2168, 756]
2017-12-26~[1738, 637]
2017-12-25~[721, 277]
2017-12-24~[1014, 305]
2017-12-23~[2784, 941]
2017-12-22~[5113, 1769]
2017-12-21~[3009, 912]
2017-12-20~[3614, 1195]
2017-12-19~[3364, 1221]
2017-12-18~[3617, 1217]
2017-12-17~[3141, 1015]
2017-12-16~[2608, 922]
2017-12-15~[3880, 1744]
2018-04-05~[2251, 717]
2018-04-04~[2154, 642]
2018-04-03~[2542, 679]
2018-04-02~[2396, 651]
2018-04-01~[2420, 551]
2018-03-31~[2255, 623]
2018-03-30~[2939, 953]
2018-03-29~[5466, 1975]
2018-03-28~[3733, 1103]
2018-03-27~[3584, 1185]
2018-03-26~[3536, 1080]
2018-03-25~[3637, 1036]
2018-03-24~[3747, 953]
2018-03-23~[4111, 1243]
2018-03-22~[4269, 1367]
2018-03-21~[3585, 1230]
2018-03-20~[4081, 1420]
2018-03-19~[4432, 1548]
2018-03-18~[2736, 804]
2018-03-17~[2375, 702]
2018-03-16~[2788, 920]
2018-03-15~[3017, 1105]
2018-03-14~[3170, 902]
2018-03-13~[3400, 1066]
2018-02-01~[3362, 1096]
2018-01-31~[3550, 1207]
2018-03-12~[3494, 1127]
2018-01-30~[5456, 1726]
2018-03-11~[3025, 786]
2018-03-10~[2958, 806]
2018-01-29~[3679, 1388]
2018-03-09~[3948, 1110]
2018-01-28~[2800, 879]
2018-03-08~[4098, 1240]
2018-01-27~[2143, 868]
2018-03-07~[4200, 1359]
2018-01-26~[2999, 1198]
2018-01-25~[2944, 1219]
2018-03-06~[3887, 1150]
2018-01-24~[2922, 994]
2018-03-05~[3561, 1240]
2018-01-23~[2953, 882]
2018-03-04~[3758, 1125]
2018-01-22~[2529, 940]
2018-03-03~[3648, 1060]
2018-01-21~[2372, 907]
2018-03-02~[6433, 2258]
2018-01-20~[2026, 733]
2018-01-19~[2833, 907]
2018-01-18~[3033, 1172]
2018-03-01~[4991, 1840]
2018-01-17~[3157, 1237]
2018-02-28~[6292, 2139]
2018-01-16~[3761, 1291]
2018-01-15~[2861, 915]
2018-02-27~[4671, 1489]
2018-01-14~[2709, 817]
2018-01-13~[2238, 796]
2018-02-26~[4611, 1856]
2018-01-12~[2665, 1163]
2018-01-11~[4375, 1457]
2018-02-25~[3321, 1096]
2018-01-10~[3444, 974]
2018-02-24~[2462, 917]
2018-02-23~[3666, 1278]
2018-01-09~[3184, 893]
2018-01-08~[2971, 899]
2018-02-22~[3770, 1325]
2018-01-07~[2434, 743]
2018-02-21~[4005, 1264]
2018-01-06~[2078, 729]
2018-01-05~[2734, 942]
2018-02-20~[4499, 1379]
2018-01-04~[3500, 1174]
2018-02-19~[3020, 991]
2018-01-03~[2341, 782]
2018-02-18~[2723, 946]
2018-01-02~[2415, 788]
2018-02-17~[2930, 927]
2018-02-16~[2830, 833]
2018-02-15~[3240, 1041]
2018-02-14~[4955, 1372]
2018-02-13~[2927, 1148]
2018-02-12~[3272, 1167]
2018-02-11~[3298, 1119]
2018-02-10~[2820, 988]
2018-02-09~[4235, 1335]
2018-02-08~[4446, 1627]
2018-02-07~[4224, 1316]
2018-02-06~[2852, 1097]
2018-02-05~[3711, 1320]
2018-02-04~[2716, 972]
2018-02-03~[2333, 785]
2018-02-02~[3372, 1153]
2018-09-17~[4446, 2005]
2018-09-16~[2922, 1394]
2018-09-15~[2175, 975]
2018-09-14~[3303, 1489]
2018-09-13~[4069, 1751]
2018-09-12~[3767, 1652]
2018-09-11~[3665, 1387]
2018-09-10~[3045, 1288]
2018-09-09~[2906, 1102]
2018-09-08~[2624, 977]
2018-09-07~[2242, 1043]
2018-09-06~[2991, 1432]
2018-09-05~[3473, 1239]
2018-09-04~[3137, 1166]
2018-09-03~[3735, 1294]
2018-09-02~[2897, 1015]
2018-09-01~[1735, 588]
2018-08-31~[2320, 856]
2018-08-30~[2803, 1038]
2018-08-29~[3082, 1205]
2018-08-28~[3468, 1078]
2018-08-27~[2342, 928]
2018-08-26~[2293, 874]
2018-08-25~[2194, 963]
2018-04-30~[2574, 1140]
2018-04-29~[1835, 746]
2018-04-28~[1765, 601]
